ra_deg	dec_deg	v_mag	b_v
0.07956	-44.29056	6.28	0.763
0.09958	26.91811	6.43	0.514
0.12870	59.55968	6.18	1.032
0.14309	-53.09771	6.49	0.616
0.18181	45.25333	6.36	-0.047
0.26909	-48.80988	5.71	0.911
0.33021	49.98156	6.22	0.970
0.33383	-50.33737	5.53	1.615
0.39877	-77.06572	4.78	1.254
0.40423	61.22280	5.58	0.407
0.43271	42.36714	6.25	-0.042
0.45604	-3.02750	5.13	-0.128
0.49008	-6.01407	4.37	1.631
0.54231	27.08226	5.80	0.690
0.58300	-29.72041	5.04	-0.150
0.60070	8.95682	6.33	0.182
0.62376	8.48546	5.70	0.315
0.65036	66.09897	5.87	1.073
0.73953	-20.04588	6.25	0.526
0.78273	-24.14515	6.46	1.176
0.85714	63.64052	6.24	0.332
0.93496	-17.33599	4.55	-0.047
0.96516	66.71218	6.31	1.629
1.05693	62.28766	5.90	0.274
1.08248	-16.52904	5.78	1.084
1.08466	-29.26882	6.38	0.006
1.12549	-10.50952	4.99	1.619
1.15244	42.09253	6.11	0.159
1.17212	-71.43689	5.59	-0.100
1.17492	67.16645	5.68	1.051
1.22400	34.65980	6.09	0.632
1.23334	26.64876	6.25	1.368
1.25496	27.67478	6.47	0.946
1.26593	-0.50304	6.32	1.099
1.27562	61.31397	5.80	-0.067
1.33392	-5.70762	4.61	1.029
1.42484	13.39627	5.55	0.901
1.56589	58.43673	5.98	0.687
1.57990	-49.07519	5.70	0.519
1.61058	64.19617	5.57	-0.023
1.65327	29.02150	6.07	0.752
1.70869	-23.10754	6.19	0.386
1.82611	-17.38699	6.20	0.133
1.93380	-2.54868	6.43	-0.146
1.94542	-22.50856	5.93	0.141
2.01453	-33.52933	5.67	1.119
2.05040	-2.44771	6.18	1.366
2.07305	-8.82411	5.99	1.034
2.09691	29.09043	2.07	-0.038
2.13690	63.20404	6.41	0.998
2.13957	-17.57816	6.11	1.664
2.17058	36.62713	6.21	0.504
2.21724	25.46298	6.24	0.976
2.25067	28.24754	6.47	0.242
2.26010	18.21196	5.57	1.043
2.25997	-54.00193	6.32	0.738
2.29452	59.14978	2.28	0.380
2.33407	79.71455	6.01	0.203
2.33779	-27.98793	5.42	0.414
2.35267	-45.74743	3.88	1.013
2.46716	-62.29679	6.34	0.164
2.50918	11.14581	5.54	-0.064
2.50907	-82.22405	5.29	1.049
2.57862	-5.24859	5.84	0.973
2.58019	46.07227	5.01	0.405
2.67848	-12.57990	5.84	1.000
2.81607	-15.46798	4.89	0.487
2.89342	-27.79974	5.41	1.346
2.93337	-35.13312	5.24	0.459
2.99619	48.15240	6.18	1.467
3.04161	-17.93828	5.29	1.478
3.30897	15.18360	2.83	-0.190
3.33176	-84.99398	5.78	1.710
3.34968	26.98755	6.24	0.680
3.37850	41.03537	5.71	0.331
3.42602	-26.02235	5.94	1.548
3.43491	-26.28496	6.14	1.490
3.50950	33.20604	6.22	0.009
3.61512	-7.78053	5.13	1.601
3.65069	20.20670	4.79	1.572
3.66007	-18.93287	4.44	1.640
3.72714	-9.56957	5.77	-0.084
3.73291	22.28423	6.25	-0.004
3.74276	-34.90422	6.17	1.344
3.74516	8.82096	6.02	0.312
3.77896	31.53572	6.34	1.555
3.79402	27.28344	6.35	-0.002
3.97853	61.00017	6.43	0.838
3.97872	-75.91162	6.49	0.983
4.03694	-31.44639	5.66	1.350
4.05807	76.95076	6.35	-0.044
4.08971	43.59505	6.12	0.068
4.14184	8.24015	6.12	0.919
4.23768	61.53319	5.74	0.898
4.27291	38.68164	4.61	0.059
4.28768	47.94741	5.86	-0.079
4.38626	-19.05109	6.46	0.386
4.42942	51.43309	6.11	-0.151
4.44874	1.68873	6.19	0.937
4.57186	11.20621	6.07	1.036
4.58190	36.78522	4.51	0.054
4.65941	31.51723	5.88	-0.014
4.67445	-8.05300	6.47	0.674
4.67570	43.79114	6.10	-0.074
4.67734	-43.23557	6.33	1.210
4.85698	-8.82392	3.56	1.214
4.92317	40.72946	6.35	1.179
5.01775	-64.87479	4.23	0.576
5.10168	30.93561	5.89	-0.098
5.12887	48.96863	6.46	0.564
5.14942	8.19027	5.38	1.343
5.16265	-69.62491	5.50	-0.046
5.18966	32.91119	5.79	1.595
5.28029	37.96860	5.16	0.442
5.36992	-77.42687	5.96	1.397
5.37999	-28.98147	5.18	1.006
5.44281	-20.05802	5.61	1.580
5.60618	13.48249	6.25	1.225
